index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,fayette,al,,jefferson,,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
2,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,jefferson,al,al,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,empty,al_scip-inf-1
3,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,fayette,al,,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,empty,al_scip-inf-2
4,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,jefferson,al,al,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
5,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,fayette,al,al,jefferson,,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,91%,empty,al_scip-inf-4
6,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,fayette,al,,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,al_scip-inf-6
7,,elba general hospital,,empty,empty,,al,,hamilton,,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,empty,al_scip-vte-1
8,10018,callahan eye foundation hospital,1720 university blvd,empty,empty,fayette,al,,jefferson,,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,,,67%,empty,al_scip-vte-2
9,10019,hdlen keller memorial hospital,8000 alabama highway 69,empty,empty,montgomery,al,al,guntersville,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,97%,33 patients,al_scip-card-2
10,10019,marshall medical center north,101 sivley rd,empty,empty,marion,al,,marshall,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,100%,,al_ami-2
11,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,4 patients,al_ami-3
12,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,,jefferson,2563864556,aiute care hospitals,government - hospital district or authority,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,4 patients,al_ami-4
13,10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,hamilton,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-5,heart attack patients given beta blocker at discharge,86%,14 patients,al_ami-5
