ID,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
1,10018.0,callahan eye foundation hospital,1720 u%niver$sity blvd,@@empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
2,10018.0,callahan eye foundation hospital,1720 university$ blvd,empty,empty,birmingham,@@al,35233.0,jefferson,2053258100.0,acute care hospi$tals,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patients w%ho were given an antibiotic at the right time (within one hour befor#e surgery) to help prevent infection,empty,empty,al_scip-inf??-1$
3,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,scip-i#nf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,empty,empty,al_scip-inf@@-2
4,33647.26794311669,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,%al,35233.0,jefferson,2053258100.0,acute care hospitals,voluntary non-profit?? - private,yes,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,em#pt$y,al_scip-inf-3
5,58221.33692810799,callahan eye foundation hospital,1720 university blvd,empty,empt??y,birmingham,al,35233.0,jefferson,9180247845.447783,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention@@,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,empty,empty,al_scip-inf-4
6,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,2053258100.0,acute care hos$pitals,voluntary non-profit - private,yes,surgical infection prevention,s@@cip??-inf-6,su$rgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,al_scip-inf-6
7,10018.0,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jef%%ferson,2053258100.0,acute care hospitals,voluntary non-profit - private,y%es,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,e@@mpt$y,em@@pt@@y,al_scip-vte-1
8,31422.274237835114,call$ahan eye$ foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233.0,jefferson,8986687189.03405,acute care hospitals,voluntary non-profit - priv@@ate,yes,surgical infection prevention,scip-vte-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,empty,empty,al_scip-vte-2
9,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,jefferson,2563864556.0,acute care hospitals,government - hospital district or authority,yes,hear#t attack,ami-1,heart attack patients given aspirin at arrival,97%,33 patients,al_@@ami-1
10,10019.0,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660.0,jefferson,8264828435.061728,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2$,heart attack patients given aspirin at discharge,92%,13 patients,al_@@a#mi-2
